Source,Prediction,Reference
"or should we say, have a seat, mom.","hay nên có một ghế, mẹ.","hay ta nên nói là, mời ngồi, người mẹ mới."
"On 5 March 2020, Theodore Roosevelt, along with the cruiser USS Bunker Hill, arrived at Da Nang, Vietnam, for a five-day port visit commemorating the 25th anniversary of United States–Vietnam relations.","Vào ngày 5 tháng 3 năm 2020, Theodore Roosevelt, cùng với tàu tàu USS Bunker Hill, đã đến Đà Nẵng, Việt Nam, trong một chuyến thăm cảng năm ngày kỷ niệm kỷ niệm 25 năm quan hệ Hoa Kỳ-Việt Nam.","Vào ngày 5 tháng 3 năm 2020, Theodore Roosevelt, cùng với tàu tuần dương USS Bunker Hill, đã đến Đà Nẵng, Việt Nam, trong chuyến thăm cảng năm ngày kỷ niệm 25 năm quan hệ Hoa Kỳ–Việt Nam."
Zhang responded: “Facts prove again and again that the U.S. is the trouble maker of the world.,Zhang trả lời: “Các bản tin chứng minh lại rằng Hoa Kỳ là nhà sản xuất rắc rối trên thế giới.,Ông Zhang trả lời: “ Thực tế đã chứng minh hết lần này đến lần khác rằng Hoa Kỳ là người gây rắc rối cho thế giới.
"In 1944, the ""Journal of Educational Sociology""","Vào năm 1944, ""Tạp chí Khoa học Giáo dục""","Năm 1944, ""Tạp chí Giáo dục Xã hội học"""
Just then he awoke from his dream .,Sau đó ông ấy tỉnh táo khỏi giấc mơ của mình .,Người cha tỉnh giấc .
where Basil used to play.,nơi Basil từng chơi.,nơi Basil vẫn thường đá banh.
That's pretty bad.,Điều đó khá tệ.,Nghe khá là kinh khủng.
"But the company has struggled to compete in the higher-end smartphone market , where it 's been overshadowed by Apple and Android in recent years .","Nhưng công ty đã vật lộn để cạnh tranh trong thị trường điện thoại thông minh cao hơn , nơi mà nó bị Apple và Android nổi bật trong những năm gần đây .",Nhưng công ty này đã phải vất vả để cạnh tranh trên thị trường điện thoại thông minh cao cấp vốn bị cái bóng quá lớn của Apple và Android che khuất trong những năm gần đây .
"And after the fact,","Và sau thực tế,","Có một sự thật là,"
but she couldn't find anything that made any difference,nhưng cô ấy không thể tìm ra cái gì đã làm sự khác biệt,nhưng cô không thể tìm cách cải tiến
Stretching with the cat,Cắt lấy con mèo,Căng duỗi với mèo
"Imagine how far they can leap,","Hãy tưởng tượng chúng có thể leo xa xa,","Tưởng tượng chúng có thể nhảy xa thế nào,"
"After 3 of his family members had been injured in a road accident and his house damaged by fire , the businessman donated it to the British Museum .","Sau khi 3 thành viên gia đình của ông bị thương trong tai nạn đường và nhà của ông bị cháy cháy , người doanh nhân đã quyên góp nó cho Bảo tàng Anh .","Sau khi 3 thành viên trong gia đình của ông bị thương trong một tai nạn xe và ngôi nhà của ông bị thiêu rụi trong một trận hoả hoạn , ông đã tặng nó cho Viện bảo tàng Anh ."
"In August , Afghan President Hamid Karzai gave private security companies four months to end operations in Afghanistan .","Vào tháng tám , Tổng thống Afghanistan Hamid Karzai đã đưa ra các công ty an ninh tư nhân bốn tháng để kết thúc hoạt động ở Afghanistan .","Vào tháng Tám , tổng thống Hamid Karzai của Afghanistan ra thời hạn 4 tháng để các công ty an ninh tư nhân chấm dứt hoạt động tại Afghanistan ."
These adults are trained to talk with people about their problems and help with feelings that are too intense .,Những người lớn này được huấn luyện để nói chuyện với mọi người về những vấn đề của họ và giúp đỡ những cảm xúc quá dữ dội .,Những người này được đào tạo để có thể nói chuyện với những người đang gặp khó khăn và có thể giúp đỡ họ giải quyết những cảm xúc quá dữ dội đó .
